,First Name,Date,Event,Pools,Pools,Table of 512,Table of 256,Table of 128,Table of 128,Table of 64,Table of 32,Table of 16,Table of 8,Semi-Finals,Bronze Medal Matches,Finals
Shipman,William,3/6/2022,V50WF,Ref: 1,,,,,,,,Ref: 1,Ref: 1,,,
Shipman,William,3/6/2022,V60WF,,,,,,,,,,Ref: 1  Assist: 1,,,
Shipman,William,3/6/2022,VETMF,Ref: 1,,,,,,,Ref: 3,Ref: 1,,Ref: 1,,
Shipman,William,3/7/2022,VETWF,Ref: 1,,,,,,,Ref: 3,Ref: 1,,,,
Shipman,William,3/7/2022,Y14MF,,,,Ref: 1,Ref: 2,,Ref: 1,,,,,,
Shipman,William,4/21/2022,U19ME,Ref: 1,,,Ref: 2,,,Ref: 1,,,,,,
Shipman,William,4/21/2022,U19MF,Ref: 1,,,,,,,,,,,,
Shipman,William,4/22/2022,U16ME,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,,,Ref: 1,,,
Shipman,William,4/22/2022,U16WE,,,,,Ref: 1,,,Ref: 1,,,,,
Shipman,William,4/23/2022,DV1WE,Ref: 1,,,,,,Ref: 1,Ref: 1,,,,,
Shipman,William,4/23/2022,DV2ME,Ref: 1,,,Ref: 1,Ref: 2,,,,,,,,
Shipman,William,4/24/2022,DV2MF,Ref: 2,,,,Ref: 2,,Ref: 2,,,,,,
Shipman,William,4/24/2022,U19WE,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,,,,,
Shipman,William,7/6/2022,U16ME,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,Ref: 1, , , , , 
Shipman,William,7/6/2022,V50ME,Ref: 1,,, , ,,Ref: 2,Ref: 3,Ref: 1,Video: 1,Ref: 1, ,Video: 1
Shipman,William,7/6/2022,V60ME, ,,, , ,, , , ,Video: 1, , , 
Shipman,William,7/7/2022,DV2ME,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,Ref: 1, , , , , 
Shipman,William,7/7/2022,Y14WE,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 2, , , , , , 
Shipman,William,7/8/2022,DV2WE, ,,, ,Ref: 1,,Ref: 1, ,Ref: 1, , , , 
Shipman,William,7/8/2022,Y14ME,Ref: 1,,,Ref: 2, ,, ,Ref: 1,Ref: 1, , , , 
Shipman,William,7/9/2022,Y12WE,Ref: 1,,, ,Ref: 2,,Ref: 2, ,Ref: 1, , , , 
Shipman,William,7/10/2022,DV2MF,Ref: 1,,, , ,, , , , , , , 
Shipman,William,7/10/2022,Y12WF,Ref: 1,,, , ,, , , , , , , 
Shousha,Hamza,7/2/2022,D1AWE,Ref: 1,,, ,Ref: 1,,Ref: 1, , , , , , 
Shousha,Hamza,7/3/2022,U19WE,Ref: 1,,,Ref: 2,Ref: 1,, , , , , , , 
Shousha,Hamza,7/4/2022,U19ME,Ref: 1,,, ,Ref: 1,, , , , , , , 
Shousha,Hamza,7/5/2022,V40WE,Ref: 1,,, , ,, , ,Ref: 2,Ref: 2,Video: 1, ,Ref: 1
Shousha,Hamza,7/5/2022,V60WE, ,,, , ,, , , , , , , 
Shousha,Hamza,7/5/2022,V70WE, ,,, , ,, , , , ,Video: 1, , 
Shousha,Hamza,7/7/2022,DV2ME,Ref: 1,,,Ref: 2,Ref: 4,,Ref: 1,Ref: 1,Ref: 1, , , , 
Shousha,Hamza,7/7/2022,Y14WE,Ref: 1,,, , ,, , , , , , , 
Shousha,Hamza,7/8/2022,DV2WE,Ref: 1,,, , ,, , , , , , , 
Shousha,Hamza,7/8/2022,Y14ME,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1, , , , , , 
Shousha,Hamza,7/9/2022,DV3ME,Ref: 1,,, ,Ref: 2,,Ref: 2,Ref: 1, , ,Ref: 1, , 
Shousha,Hamza,7/10/2022,Y10WE, ,,, , ,,Ref: 1, , , , , , 
Shousha,Hamza,7/10/2022,Y12ME,Ref: 1,,, ,Ref: 1,,Ref: 2, , , , , , 
Shousha,Hamza,7/11/2022,Y10ME,Ref: 1,,, , ,, , , , , , , 
Shousha,Mohamed,1/7/2022,DV1MF,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,,,,,,
Shousha,Mohamed,1/8/2022,U20MF,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,,,,,,
Shousha,Mohamed,1/9/2022,U20WF,Ref: 1,,,Ref: 1,Ref: 3,,Ref: 1,,,,,,
Shousha,Mohamed,1/10/2022,DV1WF,Ref: 1,,,,,,,,Video: 1,,,,
Shousha,Mohamed,2/18/2022,U20MS,Ref: 2,,,,,,,,,,,,
Shousha,Mohamed,2/18/2022,U20WF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Video: 1,,,,
Shousha,Mohamed,2/19/2022,JTMMS,,,,,,,,Ref: 1,Ref: 1,,,,
Shousha,Mohamed,2/20/2022,JTMMF,,,,,,,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,Ref: 1
Shousha,Mohamed,2/21/2022,U20MF,Ref: 2,,,,,,,,Video: 1,Video: 1,,,
Shousha,Mohamed,4/21/2022,U19ME,,,,,Ref: 1,,Ref: 1,,,,,,
Shousha,Mohamed,4/21/2022,U19MF,Ref: 1,,,,Ref: 4,,Ref: 2,Ref: 1,Video: 2,Video: 1,Ref: 1,,
Shousha,Mohamed,4/22/2022,DV1MF,Ref: 1,,,,,,,,,,,,
Shousha,Mohamed,4/22/2022,DV1WF,Ref: 1,,,,Ref: 1,,Ref: 1,,,,,,
Shousha,Mohamed,4/23/2022,U16MF,Ref: 1,,,,,,,,Video: 1,,,,
Shousha,Mohamed,4/23/2022,U19WF,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,,,,,
Shousha,Mohamed,4/24/2022,U16WF,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,Video: 1,Video: 1,Video: 1,,
Shousha,Mohamed,4/24/2022,U19WE,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,Ref: 1,,,,,
Shousha,Mohamed,7/2/2022,DV1WF,Ref: 1,,, ,Ref: 1,,Ref: 1,Ref: 1, , , , , 
Shousha,Mohamed,7/3/2022,STMWF, ,,, , ,, , ,Ref: 1, ,Ref: 1, ,Ref: 1
Shousha,Mohamed,7/3/2022,U19MF,Ref: 1,,,Ref: 3,Ref: 1,,Ref: 2, , , , , , 
Shousha,Mohamed,7/4/2022,U19ME,Ref: 1,,,Ref: 2, ,, , , , , , , 
Shousha,Mohamed,7/4/2022,U19WF,Ref: 1,,, ,Ref: 3,,Ref: 1, ,Video: 1, , , , 
Shousha,Mohamed,7/5/2022,DV1MF,Ref: 1,,, ,Ref: 1,, ,Ref: 1,Video: 1,Ref: 1, , , 
Shousha,Mohamed,7/6/2022,U16MF,Ref: 1,,, , ,, , , , , , , 
Shousha,Mohamed,7/6/2022,U16WF, ,,, ,Ref: 2,,Ref: 2, ,Video: 1, , , , 
Shousha,Mohamed,7/6/2022,V50WF,Ref: 1,,, , ,, ,Ref: 2,Ref: 1,Ref: 1  Video: 1,Video: 1, ,Video: 1
Shousha,Mohamed,7/7/2022,D1AMF,Ref: 1,,, ,Ref: 3,,Ref: 2,Ref: 1, , , , , 
Shousha,Mohamed,7/9/2022,Y14MF,Ref: 1,,,Ref: 2,Ref: 1,,Ref: 1,Ref: 1,Ref: 1, , , , 
Shousha,Mohamed,7/10/2022,Y12WF,Ref: 1,,, ,Ref: 2,,Ref: 1, ,Ref: 1, , , , 
Shousha,Yassin,7/2/2022,D1AWE,Ref: 1,,, , ,,Ref: 1,Ref: 1,Ref: 1, , , , 
Shousha,Yassin,7/3/2022,U19WE,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1, , , , , , 
Shousha,Yassin,7/4/2022,U19ME,Ref: 1,,,Ref: 2,Ref: 1,, , , , , , , 
Shousha,Yassin,7/5/2022,V40WE,Ref: 1,,, , ,, , ,Ref: 2,Ref: 1,Video: 1, , 
Shousha,Yassin,7/5/2022,V50WE, ,,, , ,, , , ,Ref: 1  Video: 1, , , 
Shousha,Yassin,7/5/2022,V60WE, ,,, , ,, , , ,Ref: 1, , , 
Shousha,Yassin,7/7/2022,DV2ME,Ref: 1,,,Ref: 1, ,,Ref: 1,Ref: 1,Ref: 1, , , , 
Shousha,Yassin,7/7/2022,VTMME, ,,, , ,, , ,Ref: 1,Ref: 1, , , 
Shousha,Yassin,7/8/2022,Y14ME,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1, , ,Ref: 1, , , 
Shousha,Yassin,7/9/2022,DV3ME,Ref: 1,,, ,Ref: 1,,Ref: 1, , , ,Ref: 1, , 
Shousha,Yassin,7/10/2022,Y10WE, ,,, ,Ref: 1,, , , , , , , 
Shousha,Yassin,7/10/2022,Y12ME,Ref: 1,,, ,Ref: 2,,Ref: 1,Ref: 1,Ref: 1, , , , 
Shumate,Sean,1/9/2022,CHRWS,,Ref: 1,,,,,,,,,,,Video: 1
Shumate,Sean,2/18/2022,U17ME,Ref: 1,,,,,,,,Video: 1,,,,
Shumate,Sean,2/19/2022,JTMMS,,,,,,,,Ref: 2,,,,,
Shumate,Sean,2/19/2022,U20WE,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,,,,,
Shumate,Sean,2/20/2022,U20ME,Ref: 1,,,,,,,,,Video: 1,,,Video: 1
Shumate,Sean,2/21/2022,U17WE,Ref: 1,,,,,,,,Ref: 1,Assist: 1,,,
Shumate,Sean,4/21/2022,DV2WE,Ref: 1,,,,Ref: 2,,Ref: 1,,Ref: 1,,,,
Shumate,Sean,4/21/2022,U19ME,Ref: 1,,,Ref: 2,Ref: 2,,,Ref: 1,,,,,
Shumate,Sean,7/2/2022,DV1ME,Ref: 1,,, , ,, , , , , , , 
Shumate,Sean,7/7/2022,DV2ME,Ref: 1,,, , ,, , , , , , ,Ref: 1
Shumate,Sean,7/8/2022,Y14ME,Ref: 1,,,Ref: 2, ,,Ref: 1, , ,Video: 1, , , 
Sierra,David,10/29/2021,Y14ME,Ref: 1,,,,,,,,,Ref: 1,Video: 1,,
Sierra,David,10/30/2021,DV1MS,Ref: 2,,,,Ref: 3,,Ref: 2,Ref: 1,Ref: 1  Assist: 1,,Assist: 1,,
Sierra,David,10/30/2021,Y14WS,Ref: 1,,,,Ref: 1,,Ref: 2,Ref: 2,,Assist: 1,,,
Sierra,David,10/31/2021,DV1WS,Ref: 1,,,,Ref: 3,,Ref: 2,Ref: 1,Ref: 1,Assist: 1,Assist: 1,,
Sierra,David,10/31/2021,U17MS,Ref: 1,,,Ref: 1,Ref: 4,,Ref: 1,Ref: 1,Ref: 1  Assist: 1,Video: 1,Ref: 1,,
Sierra,David,11/1/2021,DV1ME,,Ref: 1,,,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,,,
Sierra,David,12/9/2021,DV1WS,Ref: 2,,,,Ref: 2,,Ref: 2,,Ref: 1  Video: 1  Assist: 1,Assist: 1,,,
Sierra,David,12/10/2021,U17MS,Ref: 2,,,Ref: 1,Ref: 1,,Ref: 1,Ref: 1,,,,,
Sierra,David,12/10/2021,U20WS,Ref: 1,,,,Ref: 1,,Ref: 2,,Assist: 1,,,,
Sierra,David,12/11/2021,U20MF,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1,,,,,,
Sierra,David,12/11/2021,U20WF,,,,,Ref: 2,,,,,,,,
Sierra,David,12/12/2021,DV1MS,Ref: 2,,,,Ref: 1,,Ref: 1,Ref: 1,,,,,
Sierra,David,12/12/2021,U17WS,Ref: 2,,,,,,Ref: 2,Ref: 1,,,,,
Sierra,David,2/18/2022,U20MS,Ref: 2,,,,,,,,,,,,
Sierra,David,2/18/2022,U20WF,Ref: 1,,,,,,,,,,,,
Sierra,David,2/19/2022,JTMMS,,,,,,,,Ref: 1,Ref: 1,,Ref: 1,,
Sierra,David,2/19/2022,U20WS,Ref: 2,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,Ref: 1  Assist: 1,,,,
Sierra,David,2/20/2022,U17MS,Ref: 2,,,Ref: 1,Ref: 2,,Ref: 1,,,,,,
Sierra,David,2/20/2022,U20ME,Ref: 1,,,,,,,,,,,,
Sierra,David,2/21/2022,JTMME,,,,,,,,Ref: 1,,,,,
Sierra,David,2/21/2022,U17WS,Ref: 1,,,,Ref: 3,,Ref: 1,,,,,,
Sierra,David,4/21/2022,DV1MS,Ref: 2,,,,Ref: 1,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,
Sierra,David,4/21/2022,U19WS,Ref: 2,,,,Ref: 5,,Ref: 2,,Ref: 1,,,,
Sierra,David,4/22/2022,U16MS,Ref: 2,,,,Ref: 3,,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,
Sierra,David,4/22/2022,U16WE,Ref: 1,,,,,,,,,,,,
Sierra,David,4/23/2022,U16WS,,,,,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,Ref: 1,,,
Sierra,David,4/23/2022,U19MS,Ref: 2,,,Ref: 2,Ref: 1,,Ref: 2,,Ref: 1,Video: 1,,,
Sierra,David,4/24/2022,DV2WS,Ref: 2,,,,,,,Ref: 3,,,,,
Sierra,David,4/24/2022,U19WE,Ref: 1,,,,,,,,,,,,
Sierra,David,7/2/2022,U19MS,Ref: 2,,, , ,,Ref: 1,Ref: 1,Ref: 1, , , , 
Sierra,David,7/3/2022,D1AMS,Ref: 1,,, , ,, , ,Ref: 1, , , , 
Sierra,David,7/3/2022,U19WS,Ref: 2,,,Ref: 1,Ref: 3,,Ref: 1,Ref: 1,Ref: 1, , , , 
Sierra,David,7/4/2022,DV1MS,Ref: 2,,, ,Ref: 2,,Ref: 1,Ref: 1,Ref: 1, , , , 
Sierra,David,7/4/2022,U19ME,Ref: 1,,, , ,, , , , , , , 
Sierra,David,7/5/2022,V50MS, ,,, , ,, , , ,Video: 1,Video: 1, , 
Sierra,David,7/5/2022,V60MS,Ref: 1,,, , ,, ,Ref: 1,Ref: 2,Video: 2,Video: 1, , 
Sierra,David,7/6/2022,VTMMS, ,,, , ,, , , ,Ref: 1, , , 
Sierra,David,7/7/2022,D1AWS,Ref: 1,,, , ,,Ref: 1,Ref: 1, , , , , 
Sierra,David,7/8/2022,DV3MS,Ref: 2,,, , ,, , , , , , , 
Sierra,David,7/9/2022,DV2MS,Ref: 1,,, , ,,Ref: 2,Ref: 1, , , , , 
Sierra,David,7/10/2022,Y10WS,Ref: 1,,, , ,, , , ,Video: 1, , , 
Sierra,David,7/10/2022,Y12MS, ,,, , ,, , , ,Video: 1, , , 
Sinha,Zara,4/22/2022,U16ME,Ref: 1,,,Ref: 1,,,,,,,,,
Sinha,Zara,4/22/2022,U16WE,Ref: 1,,,,Ref: 1,,Ref: 1,Ref: 1,,,,,
Sinha,Zara,4/23/2022,DV1WE,Ref: 1,,,,Ref: 1,,Ref: 2,,,,,,
Sinha,Zara,4/23/2022,DV2ME,Ref: 1,,,,,,,,,,,,
Sinha,Zara,7/2/2022,DV1ME, ,,, ,Ref: 1,, , , , , , , 
Sinha,Zara,7/3/2022,STMME, ,,, , ,, ,Ref: 1,Ref: 1, , , , 
Sinha,Zara,7/4/2022,DV1WE,Ref: 1,,, ,Ref: 1,,Ref: 1, , , , , , 
Sinha,Zara,7/4/2022,U19ME,Ref: 1,,,Ref: 2,Ref: 1,, , , , , , , 
Sinha,Zara,7/5/2022,D1AME,Ref: 1,,, ,Ref: 2,, , , , , , , 
Sinha,Zara,7/5/2022,V70WE,Ref: 1,,, , ,, , ,Ref: 1,Ref: 1  Video: 1, , , 
Sinha,Zara,7/6/2022,U16ME,Ref: 1,,,Ref: 1,Ref: 1,, , , , , , , 
Sinha,Zara,7/7/2022,DV2ME,Ref: 1,,,Ref: 1,Ref: 2,, ,Ref: 1, , , , , 
Sinha,Zara,7/7/2022,Y14WE,Ref: 1,,, , ,, , , , , , , 
Sinha,Zara,7/9/2022,DV3ME,Ref: 1,,, ,Ref: 1,, ,Ref: 1, , , , , 
Sinha,Zara,7/9/2022,Y12WE,Ref: 1,,, , ,, , , , , , , 
Sinha,Zara,7/10/2022,Y10WE, ,,, ,Ref: 1,, , , , , , , 
Sinha,Zara,7/10/2022,Y12ME,Ref: 1,,, ,Ref: 2,,Ref: 2, , , , , , 
Sinha,Zara,7/11/2022,Y10ME,Ref: 1,,, , ,, , , , , , , 
Sintchinov,Alexei,12/9/2021,U17ME,Ref: 1,,,,Ref: 1,,,,,,,,
Sintchinov,Alexei,12/9/2021,U17WE,Ref: 1,,,,Ref: 2,,Ref: 2,,Video: 1,,,,
Sintchinov,Alexei,12/10/2021,DV1WE,Ref: 1,,,,Ref: 2,,Ref: 1,,Ref: 1,,,,
Sintchinov,Alexei,12/10/2021,U20ME,Ref: 1,,,Ref: 2,Ref: 3,,,Ref: 1,,,,,
Sintchinov,Alexei,12/11/2021,U20WE,Ref: 1,,,,Ref: 3,,Ref: 1,,Ref: 1,Ref: 1,,,
Sintchinov,Alexei,12/12/2021,DV1ME,Ref: 1,Ref: 1,,Ref: 1,Ref: 3,,Ref: 1,Ref: 1,Assist: 1,Video: 1,,,
Sintchinov,Alexei,1/7/2022,V50WE,Ref: 1,,,,,,,,Ref: 1,Ref: 1  Assist: 1,Video: 1,,Assist: 1
Sintchinov,Alexei,1/8/2022,U20ME,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,,Ref: 1,,,,
Sintchinov,Alexei,1/9/2022,DV1ME,Ref: 1,Ref: 1,,Ref: 2,Ref: 2,,Ref: 1,,,,,,
Sintchinov,Alexei,1/10/2022,U20WE,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,,,
Sintchinov,Alexei,1/10/2022,V70ME,,,,,,,,Ref: 1,Ref: 2,Video: 1  Assist: 1,Ref: 1,,
Sintchinov,Alexei,2/18/2022,U17ME,Ref: 1,,,Ref: 3,Ref: 2,,Ref: 1,Ref: 1,,Video: 1,,,
Sintchinov,Alexei,2/19/2022,U20WE,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 2,,,Ref: 1,,,
Sintchinov,Alexei,2/20/2022,JTMWE,,,,,,,,Ref: 1,Ref: 1,Ref: 1,,,
Sintchinov,Alexei,2/20/2022,U20ME,Ref: 1,,,Ref: 3,Ref: 1,,Ref: 1,,Ref: 1,,,,
Sintchinov,Alexei,2/21/2022,U17WE,Ref: 1,,,Ref: 1,Ref: 6,,Ref: 2,Ref: 2,Video: 1,,,,
Sintchinov,Alexei,4/21/2022,DV2WE,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,,,,,
Sintchinov,Alexei,4/21/2022,U19ME,Ref: 1,,,Ref: 1,Ref: 2,,,,,,,,
Sintchinov,Alexei,4/22/2022,U16ME,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 1,Ref: 1,,,,,
Sintchinov,Alexei,4/22/2022,U16WE,,,,,Ref: 1,,Ref: 2,,,,,,
Sintchinov,Alexei,4/23/2022,STMME,,,,,,,,,Ref: 1,Ref: 1,,Ref: 1,
Sintchinov,Alexei,4/24/2022,DV1ME,Ref: 2,,,,Ref: 2,,Ref: 1,Ref: 1,,,,,
Sintchinov,Alexei,4/24/2022,U19WE,Ref: 1,,,,Ref: 2,,Ref: 1,,,Video: 1,,,Ref: 1
Sintchinov,Alexei,7/2/2022,DV1ME,Ref: 1,,, ,Ref: 3,, , ,Video: 1, , , , 
Sintchinov,Alexei,7/3/2022,U19WE,Ref: 1,,, ,Ref: 2,,Ref: 1,Ref: 1,Video: 1, , , , 
Sintchinov,Alexei,7/4/2022,DV1WE,Ref: 1,,, ,Ref: 1,,Ref: 1,Ref: 1,Ref: 1, , , , 
Sintchinov,Alexei,7/4/2022,U19ME,Ref: 1,,,Ref: 2,Ref: 1,, , ,Ref: 1, , , , 
Sintchinov,Alexei,7/5/2022,V50WE,Ref: 1,,, , ,, ,Ref: 1,Ref: 3,Video: 1,Ref: 1, ,Video: 1
Sintchinov,Alexei,7/5/2022,V60WE, ,,, , ,, , , ,Ref: 1, , ,Ref: 1
Sintchinov,Alexei,7/6/2022,U16ME,Ref: 1,,, , ,, , , , , , , 
Sintchinov,Alexei,7/6/2022,V50ME,Ref: 1,,, , ,,Ref: 1,Ref: 2,Ref: 1,Video: 1, , , 
Sintchinov,Alexei,7/6/2022,V60ME, ,,, , ,, , , , ,Video: 1, , 
Sintchinov,Alexei,7/6/2022,V80ME, ,,, , ,, , , , ,Video: 1, , 
Sintchinov,Alexei,7/6/2022,VTMWE, ,,, , ,, , , ,Ref: 1, , , 
Sintchinov,Alexei,7/7/2022,Y14MS,Ref: 2,,,Ref: 1,Ref: 2,,Ref: 3, , , , , , 
Sintchinov,Alexei,7/7/2022,Y14WE, ,,, ,Ref: 2,,Ref: 1,Ref: 1, , , , , 
Sintchinov,Alexei,7/8/2022,DV2WE, ,,, ,Ref: 1,,Ref: 1,Ref: 1, , , , , 
Sintchinov,Alexei,7/8/2022,Y14ME,Ref: 1,,,Ref: 2,Ref: 2,,Ref: 1, ,Ref: 1, , , , 
Sintchinov,Alexei,7/9/2022,DV3ME, ,,, ,Ref: 2,,Ref: 2, , , , , , 
Sintchinov,Alexei,7/9/2022,Y12WE,Ref: 1,,, ,Ref: 1,,Ref: 1,Ref: 1, , , , , 
Sintchinov,Alexei,7/10/2022,Y10WE, ,,, , ,,Ref: 2, ,Ref: 1, , , , 
Sintchinov,Alexei,7/10/2022,Y12ME,Ref: 1,,, ,Ref: 1,, , , ,Video: 1, , , 
Sintchinov,Alexei,7/11/2022,Y10WF,Ref: 1,,, ,Ref: 1,,Ref: 2,Ref: 1, , , , , 
Smith,Anthony,10/29/2021,DV1WE,Ref: 1,,,,Ref: 3,,Ref: 1,Ref: 1,Assist: 1,Ref: 1,,,Assist: 1
Smith,Anthony,10/29/2021,Y14ME,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,,,,,
Smith,Anthony,10/30/2021,U17ME,Ref: 1,,,Ref: 2,Ref: 3,,Ref: 1,,Ref: 1,,,,
Smith,Anthony,10/31/2021,U17WE,Ref: 1,,,,,,,,,Ref: 1,,,
Smith,Anthony,11/1/2021,DV1ME,Ref: 1,Ref: 1,,Ref: 2,Ref: 1,,Ref: 1,Ref: 1,Video: 1  Assist: 1,Assist: 1,,,
Smith,Anthony,12/9/2021,DV1MF,Ref: 1,,,Ref: 1,Ref: 1,,Ref: 1,,Assist: 1,Assist: 1,Assist: 1,,
Smith,Anthony,12/9/2021,U17WF,,,,,Ref: 2,,Ref: 1,,Ref: 1  Assist: 1,Video: 1,,,
Smith,Anthony,12/10/2021,U17MF,Ref: 1,,,Ref: 1,Ref: 2,,,,,,,,
Smith,Anthony,12/10/2021,U20ME,Ref: 1,,,Ref: 2,Ref: 2,,,Ref: 1,,,,,
Smith,Anthony,12/11/2021,U20MF,Ref: 1,,,,,,,,,,,,
Smith,Anthony,12/11/2021,U20WF,,,,Ref: 1,Ref: 2,,Ref: 1,,,,,,
Smith,Anthony,12/12/2021,DV1ME,Ref: 1,Ref: 1,,Ref: 2,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,,,,
Smith,Anthony,1/7/2022,V50WE,Ref: 1,,,,,,,Ref: 1,Ref: 1,Ref: 1  Assist: 1,,,
Smith,Anthony,1/8/2022,U20ME,Ref: 1,,,Ref: 1,Ref: 3,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,Video: 1,,
Smith,Anthony,1/9/2022,DV1ME,Ref: 1,Ref: 1,,Ref: 1,Ref: 1,,Ref: 2,,Ref: 1,Ref: 1,,,
Smith,Anthony,1/10/2022,U20WE,Ref: 1,,,,Ref: 2,,Ref: 2,Ref: 1,Ref: 1,Assist: 1,Assist: 1,,
Smith,Anthony,1/10/2022,V50ME,,,,,,,,Ref: 1,Ref: 1,,,,
Smith,Anthony,3/4/2022,V80WE,,,,,,,,,,,Ref: 1,,Assist: 1
Smith,Anthony,3/4/2022,Y14WE,Ref: 1,,,,Ref: 3  Video: 1,,Ref: 2,Ref: 1,Ref: 1,Assist: 1,Video: 1,,Ref: 1
Smith,Anthony,3/5/2022,Y12WE,Ref: 1,,,,Ref: 3,,Ref: 3,,Ref: 2,Video: 1,Ref: 1,,Assist: 1
Smith,Anthony,3/6/2022,V50ME,Ref: 1,,,,,,Ref: 1,Ref: 2,Ref: 1,Ref: 1  Assist: 1,Assist: 1,,Ref: 1
Smith,Anthony,3/6/2022,V80ME,,,,,,,,,,Video: 1,Assist: 1,,Video: 1
Smith,Anthony,3/7/2022,VETME,Ref: 1,,,,,,,,Ref: 1,,Assist: 1,,
Smith,Anthony,3/7/2022,Y10ME,,,,,,,Ref: 1,Ref: 1,,,,,
Smith,Anthony,4/21/2022,DV2WF,Ref: 1,,,,Ref: 1,,Ref: 2,Ref: 1,,,,,
Smith,Anthony,4/21/2022,U19MF,Ref: 1,,,,,,,,,,,,
Smith,Anthony,4/22/2022,U16ME,Ref: 1,,,Ref: 1,Ref: 3,,,Ref: 1,,,,,
Smith,Anthony,4/22/2022,U16WE,Ref: 1,,,,Ref: 1,,,,Ref: 1,Video: 1,,,
Smith,Anthony,4/23/2022,DV2ME,Ref: 1,,,Ref: 1,Ref: 2,,Ref: 2,,Ref: 1,,,,Ref: 1
Smith,Anthony,4/23/2022,STMME,,,,,,,,,Ref: 1,Ref: 1,Ref: 1,,
Smith,Anthony,4/24/2022,DV1ME,Ref: 1,,,,Ref: 2,,Ref: 1,,,,,,
Smith,Brianna,1/7/2022,DV1MS,Ref: 1,,,,Ref: 2,,Ref: 1,,Assist: 1,,Ref: 1,,
Smith,Brianna,1/8/2022,DV1WE,Ref: 1,,,,Ref: 2,,Ref: 1,Ref: 1,Ref: 1,Assist: 1,,,
Smith,Brianna,1/8/2022,V60MS,Ref: 1,,,,,,,,Ref: 1,Ref: 1  Video: 1,Video: 1,,Ref: 1
Smith,Brianna,1/9/2022,U20MS,Ref: 2,,,Ref: 1,Ref: 2,,Ref: 2,,Assist: 1,,Assist: 1,,Ref: 1
Smith,Brianna,1/9/2022,U20WS,Ref: 2,,,,Ref: 4,,Ref: 2,Ref: 1,Ref: 1  Assist: 1,Assist: 1,Ref: 1,,
Smith,Brianna,4/22/2022,U16MS,Ref: 2,,,,Ref: 3,,Ref: 1,Ref: 1,Ref: 1,Ref: 1,,,
Smith,Brianna,4/22/2022,U16WE,Ref: 1,,,,Ref: 1,,Ref: 1,,,,,,
Smith,Brianna,4/23/2022,U16WS,,,,,Ref: 1,,Ref: 2,Ref: 1,Ref: 1,,,,Ref: 1
Smith,Brianna,4/23/2022,U19MS,Ref: 2,,,Ref: 4,Ref: 2,,Ref: 2,,Ref: 1,Video: 1,,,Ref: 1
Smith,Brianna,4/24/2022,DV2WS,Ref: 2,,,,Ref: 3,,Ref: 5,Ref: 3,Ref: 1,,Ref: 1,,
Smith,Brianna,4/24/2022,U19WE,Ref: 1,,,Ref: 1,Ref: 1,,,,,,,,
Smith,Brianna,7/5/2022,DV1WS,Ref: 2,,, ,Ref: 3,,Ref: 3, ,Ref: 1, , , , 
Smith,Brianna,7/5/2022,U16MS,Ref: 2,,,Ref: 2,Ref: 2,,Ref: 1,Ref: 1, , ,Ref: 1, , 
Smith,Brianna,7/6/2022,STMMS, ,,, , ,, ,Ref: 1,Ref: 1,Ref: 1, , , 
Smith,Brianna,7/6/2022,U16ME,Ref: 1,,,Ref: 2,Ref: 2,, ,Ref: 1, , , , , 
Smith,Brianna,7/6/2022,V70ME,Ref: 1,,, , ,, , , , ,Ref: 1, ,Video: 1
Smith,Brianna,7/7/2022,D1AWS,Ref: 1,,, , ,,Ref: 1, , , , , , 
Smith,Brianna,7/7/2022,V40WS, ,,, , ,, , , , ,Video: 1, , 
